isPermaLink,guid_Text,item_Id
"false","http://www.engadget.com/2014/02/03/samsung-unpacked-5-invitation/",0
"false","http://www.engadget.com/2014/02/03/google-mystery-barge-must-move-inadequate-permits/",1
"false","http://www.engadget.com/2014/02/03/must-see-hdtv-for-the-week-of-february-3rd-walking-dead-and-win/",2
"false","http://www.engadget.com/2014/02/03/nudeaudio-studio-5/",3
"false","http://www.engadget.com/2014/02/03/sprint-push-to-talk/",4
"false","http://www.engadget.com/2014/02/03/steamos-steam-music/",5
"false","http://www.engadget.com/2014/02/03/white-house-maker-faire/",6
"false","http://www.engadget.com/2014/02/03/gta-5-best-selling-2013/",7
"false","http://www.engadget.com/2014/02/03/facebook-paper-news-reading-app-hands-on/",8
"false","http://www.engadget.com/2014/02/03/nfl-now-cord-cutters/",9
"false","http://www.engadget.com/2014/02/03/adobes-photoshop-john-nack-to-google/",10
"false","http://www.engadget.com/2014/02/03/the-government-wants-our-cars-to-talk-to-each-other/",11
"false","http://www.engadget.com/2014/02/03/google-calendar-holidays-in-30-more-countries/",12
"false","http://www.engadget.com/2014/02/03/transparency-reports-now-cover-user-content-requests/",13
"false","http://www.engadget.com/2014/02/03/samsung-galaxy-note-pro-12-2-february-13th-for-850-/",14
"false","http://www.engadget.com/2014/02/03/mobile-carrier-ting-turns-two-celebrates-by-lowering-data-price/",15
"false","http://www.engadget.com/2014/02/03/google-opens-chromecast-sdk/",16
"false","http://www.engadget.com/2014/02/03/google-now-desktop/",17
"false","http://www.engadget.com/2014/02/03/playstation-4-update-supports-expensive-sony-headsets/",18
"false","http://www.engadget.com/2014/02/03/amd-mantle-driver-battlefield-4-benchmarks/",19
"false","http://www.engadget.com/2014/02/03/apple-says-happy-birthday-mac-with-iphone-video/",20
"false","http://www.engadget.com/2014/02/03/kentucky-code-language-credit/",21
"false","http://www.engadget.com/2014/02/03/ebuyer-uk-retail-hint/",22
"false","http://www.engadget.com/2014/02/03/microsoft-squashes-rumors-of-a-cheaper-all-digital-xbox-one/",23
"false","http://www.engadget.com/2014/02/03/esa-leaf-accoustic-rocket-test-facility/",24
